model,soc,soh,battery_temp,battery_capacity_kwh,model_cluster
ev6 gt,20.0,99.99976236590072,27.641959586781745,80.0,0
ev6 gt,20.0,99.99951290099786,31.25274422257253,80.0,0
ev6 gt,20.0,99.9992590430183,33.31918368112195,80.0,0
ev6 gt,20.0,99.9990093457208,30.22665631924107,80.0,0
ev6 gt,20.0,99.9987716062291,32.39836823181483,80.0,0
ev6 gt,20.0,99.99854083501118,31.82682936913873,80.0,0
3 long range performance,80.0,99.99786834050995,32.81773105412602,107.0,4
i5 xdrive40 touring (my25),70.04883152544559,99.99739016966592,31.14414488386382,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99715190037804,30.697868834484048,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99690047979128,25.190062014998823,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.9966671225407,31.791154398129407,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99643633586254,29.74653748778811,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.9961947418926,30.02967632779226,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.995961448833,30.847149306105287,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99571002013798,30.38464840522033,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99545630501316,32.44536940177485,81.2,1
i5 xdrive40 touring (my25),70.04883152544559,99.99521582704294,29.13696221444581,81.2,1
mustang mach-e er awd (my25),58.85183284667565,99.99471408279608,30.771368199653047,88.0,2
emeya r,48.29774726663965,99.99420643845096,30.78807178682738,98.9,3
emeya r,48.29774726663965,99.99395926621683,28.735651247507672,98.9,3
emeya r,48.29774726663965,99.99372823793458,30.84320809907304,98.9,3
emeya r,48.29774726663965,99.99347446892742,32.914508249915144,98.9,3
emeya r,48.29774726663965,99.9932262314522,29.713472345512976,98.9,3
emeya r,48.29774726663965,99.9929884641719,29.591401280123485,98.9,3
emeya r,48.29774726663965,99.99273826708033,30.36199318012121,98.9,3
emeya r,48.29774726663965,99.99249813656762,29.960964535231305,98.9,3
emeya r,48.29774726663965,99.99224463084904,30.805778780460344,98.9,3
emeya r,48.29774726663965,99.99200366720862,29.66308237124219,98.9,3
emeya r,48.29774726663965,99.99175216090448,30.192304365070303,98.9,3
emeya r,48.29774726663965,99.9915160927894,27.238412425205787,98.9,3
ev6 gt,36.856156961476685,99.9910322349642,32.1536469828436,80.0,0
ev6 gt,26.70782182434491,99.99057157788852,32.23055431491604,80.0,0
ev6 gt,26.70782182434491,99.99032667005876,30.111420610355328,80.0,0
ev6 gt,26.70782182434491,99.9900828717474,29.950865349622067,80.0,0
ev6 gt,26.70782182434491,99.98984543511511,28.896641533402853,80.0,0
ev6 gt,26.70782182434491,99.98961198435548,31.677180676759946,80.0,0
ev6 gt,26.70782182434491,99.98935859823244,31.882097567465276,80.0,0
ev6 gt,26.70782182434491,99.98910528171412,29.382766837347727,80.0,0
ev6 gt,26.70782182434491,99.98887092129046,29.485142397385744,80.0,0
ev6 gt,26.70782182434491,99.9886376480603,33.47474106819139,80.0,0
ev6 gt,26.70782182434491,99.98838846412512,29.44985725633144,80.0,0
3 long range performance,80.0,99.98769741936002,28.474300239053026,107.0,4
i5 xdrive40 touring (my25),69.07355703850033,99.98719922648424,30.26578891826915,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98696802747745,30.89247485920325,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98672727312947,29.07589328756224,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.9864951048053,30.832338377635068,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.9862487023474,31.87540599920307,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.986001374737,27.29669040573988,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98576288140978,30.636545563694767,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98551856013394,31.73317221779524,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98527816766092,30.56707468836711,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.985035239794,30.127462513106583,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98479407768598,31.425138049754825,81.2,1
i5 xdrive40 touring (my25),69.07355703850033,99.98455259051336,27.584564935458086,81.2,1
mustang mach-e er awd (my25),59.31607788961562,99.98408222147118,27.797611854800824,88.0,2
emeya r,49.12142785778092,99.98359141150613,25.3142762370845,98.9,3
emeya r,49.12142785778092,99.98334941589113,32.99828018497769,98.9,3
emeya r,49.12142785778092,99.98311273777652,29.3044716196553,98.9,3
emeya r,49.12142785778092,99.98286534849416,28.259693599689328,98.9,3
emeya r,49.12142785778092,99.98262933314128,30.76943018605567,98.9,3
emeya r,49.12142785778092,99.98238367657808,32.69943448080844,98.9,3
emeya r,49.12142785778092,99.98215068863696,30.01573428396621,98.9,3
emeya r,49.12142785778092,99.98190638193704,30.17858602865861,98.9,3
emeya r,49.12142785778092,99.98166505532406,30.4509447215024,98.9,3
emeya r,49.12142785778092,99.98143060964318,31.83609417326792,98.9,3
ev6 gt,38.419084138497645,99.9809560756634,29.575836682272293,80.0,0
ev6 gt,27.92911467146743,99.98047651155927,31.00685419579834,80.0,0
ev6 gt,27.92911467146743,99.9802231916516,31.708016342502564,80.0,0
ev6 gt,27.92911467146743,99.9799870021196,30.32353024847365,80.0,0
ev6 gt,27.92911467146743,99.97974723149424,32.17188041657788,80.0,0
ev6 gt,27.92911467146743,99.97950404233724,27.10783859546164,80.0,0
ev6 gt,27.92911467146743,99.97926421801458,27.748869151404875,80.0,0
ev6 gt,27.92911467146743,99.97902634170518,32.9940846010558,80.0,0
ev6 gt,27.92911467146743,99.97877415366308,28.9690069035595,80.0,0
ev6 gt,27.92911467146743,99.97853451389965,31.120109476645904,80.0,0
ev6 gt,27.92911467146743,99.97828345102074,30.575329128357648,80.0,0
ev6 gt,27.92911467146743,99.97804254062724,27.62208271814905,80.0,0
ev6 gt,27.92911467146743,99.9778038727898,31.04818917823505,80.0,0
ev6 gt,27.92911467146743,99.97756178693416,31.105263219404016,80.0,0
ev6 gt,27.92911467146743,99.97732536240382,32.62888199690529,80.0,0
ev6 gt,27.92911467146743,99.9770778324812,32.14602842562344,80.0,0
