model,soc,soh,battery_temp,battery_capacity_kwh,model_cluster
ev6 gt,20.0,99.99976237,27.64195959,80.0,0
ev6 gt,20.0,99.9995129,31.25274422,80.0,0
ev6 gt,20.0,99.99925904,33.31918368,80.0,0
ev6 gt,20.0,99.99900935,30.22665632,80.0,0
ev6 gt,20.0,99.99877161,32.39836823,80.0,0
ev6 gt,20.0,99.99854084,31.82682937,80.0,0
3 long range performance,80.0,99.99786834,32.81773105,107.0,4
i5 xdrive40 touring (my25),70.04883153,99.99739017,31.14414488,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.9971519,30.69786883,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99690048,25.19006201,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99666712,31.7911544,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99643634,29.74653749,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99619474,30.02967633,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99596145,30.84714931,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99571002,30.38464841,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99545631,32.4453694,81.2,1
i5 xdrive40 touring (my25),70.04883153,99.99521583,29.13696221,81.2,1
mustang mach-e er awd (my25),58.85183285,99.99471408,30.7713682,88.0,2
emeya r,48.29774727,99.99420644,30.78807179,98.9,3
emeya r,48.29774727,99.99395927,28.73565125,98.9,3
emeya r,48.29774727,99.99372824,30.8432081,98.9,3
emeya r,48.29774727,99.99347447,32.91450825,98.9,3
emeya r,48.29774727,99.99322623,29.71347235,98.9,3
emeya r,48.29774727,99.99298846,29.59140128,98.9,3
emeya r,48.29774727,99.99273827,30.36199318,98.9,3
emeya r,48.29774727,99.99249814,29.96096454,98.9,3
emeya r,48.29774727,99.99224463,30.80577878,98.9,3
emeya r,48.29774727,99.99200367,29.66308237,98.9,3
emeya r,48.29774727,99.99175216,30.19230437,98.9,3
emeya r,48.29774727,99.99151609,27.23841243,98.9,3
ev6 gt,36.85615696,99.99103223,32.15364698,80.0,0
ev6 gt,26.70782182,99.99057158,32.23055431,80.0,0
ev6 gt,26.70782182,99.99032667,30.11142061,80.0,0
ev6 gt,26.70782182,99.99008287,29.95086535,80.0,0
ev6 gt,26.70782182,99.98984544,28.89664153,80.0,0
ev6 gt,26.70782182,99.98961198,31.67718068,80.0,0
ev6 gt,26.70782182,99.9893586,31.88209757,80.0,0
ev6 gt,26.70782182,99.98910528,29.38276684,80.0,0
ev6 gt,26.70782182,99.98887092,29.4851424,80.0,0
ev6 gt,26.70782182,99.98863765,33.47474107,80.0,0
ev6 gt,26.70782182,99.98838846,29.44985726,80.0,0
3 long range performance,80.0,99.98769742,28.47430024,107.0,4
i5 xdrive40 touring (my25),69.07355704,99.98719923,30.26578892,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98696803,30.89247486,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98672727,29.07589329,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.9864951,30.83233838,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.9862487,31.875406,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98600137,27.29669041,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98576288,30.63654556,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98551856,31.73317222,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98527817,30.56707469,81.2,1
i5 xdrive40 touring (my25),69.07355704,99.98503524,30.12746251,81.2,1
